SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_668_09232-LF,PORTSERVER TS 16-PORT MEI,HZKH,HZKH,A0000N,24,24,4.0,2422.0,9688.0,24.0,HZKH,1,True,1,,False,False,False
ASM4022_668_20902-P,PDU MK2.1 SRC GENERIC ASSY,EZKE,EZKE,A0000N,0,0,1.0,7323.78,7323.78,0.0,EZKE,1,True,1,,False,False,False
ASM4022_668_29531-LF,NXE LA DL WLSU BOX,HZKH,HZKH,A0000N,22,22,4.0,572.25,2289.0,36.0,HZKH,1,True,1,,False,False,False
ASM4022_668_49031-LF,NXE FF HGSB FRONT,F1303,F1303,A0000N,8,8,19.0,82.57,1568.83,36.0,F1303,1,False,1,Legbord,False,False,False
ASM4022_668_49874-LF,DEIB REAR PANEL,D0403,D0403,A0000N,0,0,10.0,107.1105,1071.11,0.0,D0403,1,False,1,Legbord,False,True,False
ASM4022_668_49903-LF,DEIB BOTTOM PLATE,D0703,D0703,A0000N,0,0,1.0,113.4945,113.49,0.0,D0703,1,False,1,Legbord,False,True,False
ASM4022_668_49913-LF,DEIB TOP,D0703,D0703,A0000N,0,0,3.0,394.72,1184.16,3.0,D0703,1,False,1,Legbord,False,True,False
ASM4022_668_69031-LF,KVM DRAWER MK2 SUBASSY,EZKE,EZKE,A0000N,45,45,3.0,2063.25,6189.75,44.0,EZKE,1,True,1,,False,False,False
ASM4022_668_74682-LF,SR FT REMOTE I/O COVER,F0603,F0603,A0000N,6,6,2.0,255.43,510.86,6.0,F0603,1,False,1,Legbord,False,False,False
ASM4022_668_74691-LF,SR FT REMOTE I/O BOX,F0703,F0703,A0000N,5,5,14.0,198.23,2775.22,6.0,F0703,1,False,1,Legbord,False,False,False
ASM4022_668_80552-LF,MDSU TOP COVER WLDA,EZKE,EZKE,A0000N,23,23,8.0,243.873,1950.98,40.0,EZKE,1,True,1,,False,False,False
ASM4022_668_80562-LF,MDSU BOTTOM COVER WLDA,EZKE,EZKE,A0000N,26,26,5.0,243.5895,1217.95,40.0,EZKE,1,True,1,,False,False,False
ASM4022_671_02951-LF,MOU MK2 DX1 ASSY,HZKH,HZKH,A0000N,82,82,146.0,408.7879,59683.04,696.0,HZKH,1,True,1,,False,False,False
ASM4022_671_23222-LF,TCMA ADDITIONAL HEATSINK PLATE,F1001,F1001,A0000N,42,42,161.0,21.34,3435.74,373.0,F1001,1,False,1,Pallet,True,True,False
